Date,Gender,City,Order_total
1/15/2018,Male,Boston,12
1/12/2018,Female,Boston,15
1/20/2018,Female,Dallas,29
1/9/2018,Male,New York,38
1/4/2018,Female,Boston,40
1/19/2018,Male,Boston,33
1/8/2018,Male,New York,15
1/21/2018,Female,Dallas,13
1/15/2018,Male,New York,33
1/24/2018,Female,Dallas,40
1/11/2018,Male,New York,12
1/7/2018,Male,Boston,7
1/10/2018,Male,New York,30
1/10/2018,Male,New York,21
1/11/2018,Male,Boston,17
1/11/2018,Male,Boston,8
1/30/2018,Male,New York,22
1/5/2018,Male,Dallas,12
1/29/2018,Male,New York,38
1/2/2018,Female,New York,5
1/28/2018,Male,Dallas,23
1/16/2018,Female,Dallas,5
1/21/2018,Female,Dallas,33
1/22/2018,Male,Boston,23
1/26/2018,Male,Dallas,40
1/14/2018,Female,New York,33
1/10/2018,Male,New York,8
1/17/2018,Female,New York,11
1/27/2018,Female,Dallas,23
1/3/2018,Male,Boston,33
1/9/2018,Female,Dallas,36
1/19/2018,Male,New York,22
1/13/2018,Male,Boston,10
1/15/2018,Female,New York,17
1/15/2018,Male,Boston,13
1/13/2018,Female,Boston,25
1/14/2018,Male,Dallas,27
1/15/2018,Female,Dallas,9
1/15/2018,Female,New York,27
1/12/2018,Female,New York,10
1/7/2018,Male,New York,24
1/26/2018,Female,New York,15
1/22/2018,Female,Dallas,38
1/30/2018,Male,New York,28
1/10/2018,Female,Boston,9
1/21/2018,Female,Boston,30
1/31/2018,Male,Dallas,24
1/3/2018,Female,Boston,30
1/12/2018,Male,Dallas,15
1/15/2018,Female,New York,16
